repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
numpy/numpy,30154,BUG: update requires to requirements in numpy.multiarray see #30142,athurdekoos,closed,True,"### Summary:
In response to a [failure in compilation](https://github.com/numpy/numpy/actions/runs/19056916192/job/54429123184?pr=30142#step:5:901) of #30142 where the `requires` identifier is reserved in C++-20. 

### What was done:
`requires` has been replaced with `requirements` to match [documentation](https://numpy.org/devdocs/reference/c-api/array.html#c.PyArray_CheckFromAny). 

Closes #30151 ",2025-11-05 21:49:34+00:00,2025-11-06 03:44:00+00:00,2025-11-06 03:44:00+00:00,9,9,2,1,1,0
numpy/numpy,30153,BUG: decref on error in PyArray_NewFromDescr (#30152),mdavidsaver,closed,True,"Attempt to address #30152 by reordering the error tests.  Check `descr == NULL` first, then add a `Py_DECREF(descr);` on error to the following test.",2025-11-05 19:30:09+00:00,2025-11-06 05:08:32+00:00,2025-11-06 05:08:32+00:00,5,4,1,1,2,0
numpy/numpy,30149,MAINT: Not show signature in git_version,cielavenir,closed,True,"<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->

When $HOME/.gitconfig has `log.showSignature=true`, git log is like this

```
(main) $ git log -1 --format=""%H %aI""
gpg: Signature made Wed 05 Nov 2025 07:57:32 AM JST
gpg:                using RSA key B5690EEEBB952194
gpg: Can't check signature: No public key
7aa023f008969a43648aaf4c3e707349abc7a2f7 2025-11-04T23:57:32+01:00
```

In this way, git_version() is prevented. We should pass -c log.showSignature=false explicitly to hide the signature ",2025-11-05 08:01:08+00:00,2025-11-05 11:41:56+00:00,2025-11-05 11:41:56+00:00,1,1,1,1,2,0
numpy/numpy,30148,DOC: Fix Returns section formatting in linalg.qr and linalg.svd,alektebel,closed,True,"Move initial return information from Returns section to Notes section to comply with numpydoc standards and fix rendering issues.

Fixes #29779
[skip actions][skip azp][skip cirrus]

## Description
Move initial narrative text from Returns section to Notes section to comply with numpydoc standards and fix rendering issues.

## Changes Made
- Moved explanatory text about namedtuple returns from Returns section to Notes section for both `qr()` and `svd()` functions
- Maintained all original content while fixing the structure
- Ensured Returns section only contains actual return parameters

## Related Issue
Fixes #29779

## Documentation
This is a documentation-only change that improves the rendering of the API reference.

## Checklist
- [x] I have read the [contributing guidelines](https://numpy.org/doc/stable/dev/index.html#guidelines)
- [x] Builds locally without issues
- [x] Documentation change only
- [x] Follows numpydoc standards

## References
- [numpydoc style guide](https://numpydoc.readthedocs.io/en/latest/format.html#sections)
",2025-11-04 23:34:21+00:00,2025-11-05 09:14:19+00:00,2025-11-05 09:14:19+00:00,6,6,1,2,0,1
numpy/numpy,30147,"BUG, TYP: add the remaining ``_core.multiarray`` function runtime signatures",jorenham,closed,True,"This fixes `inspect.signature` from raising a `ValueError` for the following functions:

- `numpy.arange`
- `numpy.char.compare_chararrays`
- `numpy.busdaycalendar`
- `numpy.datetime_data`
- `numpy.from_dlpack`
- `numpy.frombuffer`
- `numpy.fromfile`
- `numpy.fromiter`
- `numpy.frompyfunc`
- `numpy.fromstring`
- `numpy.nested_iters`
- `numpy.promote_types`

The tests were getting a bit messy, so I cleaned them up a bit, and grouped the `signature`-related onces into a class-bsaed test.

~I'll try and improve the `arange` signature in a follow-up, as that'll require quite a few changes in the stubs.~ 

Related to #30104, #30114, #30121, #30124, #30126, #30137, #30138, #30140, #30143, and #30146.

FYI, still on my `inspect.signature` to-do list are the classes in `numpy.random`, `ndarray.to_device` (which is missing docs), and 53 of the `np.generic` methods.",2025-11-04 22:01:37+00:00,2025-11-06 17:27:48+00:00,2025-11-06 17:27:48+00:00,299,209,7,5,8,0
numpy/numpy,30143,"BUG, TYP: ``_core.multiarray.*`` function runtime signatures",jorenham,closed,True,"This is yet another batch of `inspect.signature` fixes, similar to #30104, #30114, #30121, #30124, #30126, #30137, #30138, and #30140. The following functions are affected:

- `numpy.empty_like`
- `numpy.concatenate`
- `numpy.inner`
- `numpy.where`
- `numpy.lexsort`
- `numpy.can_cast`
- `numpy.min_scalar_type`
- `numpy.result_type`
- `numpy.dot`
- `numpy.vdot`
- `numpy.bincount`
- `numpy.ravel_multi_index`
- `numpy.unravel_index`
- `numpy.copyto,`
- `numpy.putmask`
- `numpy.packbits`
- `numpy.unpackbits`
- `numpy.shares_memory`
- `numpy.may_share_memory`
- `numpy.is_busday`
- `numpy.busday_offset`
- `numpy.busday_count`
- `numpy.datetime_as_string`",2025-11-04 07:51:26+00:00,2025-11-04 17:50:26+00:00,2025-11-04 17:50:26+00:00,330,239,10,4,5,0
numpy/numpy,30142,MAINT: Migrate einsum.c.src to C++ (einsum.cpp),athurdekoos,closed,True,"**Motivation:**
Part of #29528, migrates einsum.c.src to C++.

No C++ templates were needed as einsum.c.src was not templated but was still a c.src file for historical reason. This is a good starting point for future c++ migration work.

**What this PR does:** 
- Renamed `einsum.c.src` to `einsum.cpp`
- Updated refrences in genapi.py and meson.build
- In `einsum.cpp`:
  - Added `extern ""C""` C linkage where necessary
  - Added 4 explicit casts to maintain functionality ",2025-11-04 03:33:34+00:00,2025-11-07 08:31:43+00:00,2025-11-07 08:31:43+00:00,9,9,3,2,9,2
numpy/numpy,30141,MAINT: fix math markup (\times -> \\times) in numpy.linalg.multidot docstring Notes section,treycole,closed,True,"On the NumPy documentation page for [numpy.linalg.mutli_dot](https://numpy.org/doc/stable/reference/generated/numpy.linalg.multi_dot.html#numpy.linalg.multi_dot), the math markup in Notes was previously

```python
:math:`A_{10 \times 100}, B_{100 \times 5}, C_{5 \times 50}`.
```

which did not render correctly as it was detected as an escape sequence. This has been updated to

```python
:math:`A_{10 \\times 100}, B_{100 \\times 5}, C_{5 \\times 50}`.
```

<!--         ----------------------------------------------------------------
                MAKE SURE YOUR PR GETS THE ATTENTION IT DESERVES!
                ----------------------------------------------------------------

*  FORMAT IT RIGHT:
      https://www.numpy.org/devdocs/dev/development_workflow.html#writing-the-commit-message

*  IF IT'S A NEW FEATURE OR API CHANGE, TEST THE WATERS:
      https://www.numpy.org/devdocs/dev/development_workflow.html#get-the-mailing-list-s-opinion

*  HIT ALL THE GUIDELINES:
      https://numpy.org/devdocs/dev/index.html#guidelines

*  WHAT TO DO IF WE HAVEN'T GOTTEN BACK TO YOU:
      https://www.numpy.org/devdocs/dev/development_workflow.html#getting-your-pr-reviewed
-->
",2025-11-04 03:12:12+00:00,2025-11-04 06:15:50+00:00,2025-11-04 06:15:50+00:00,1,1,1,1,1,0
numpy/numpy,30140,"BUG, DOC, TYP: ``empty`` and ``zeros`` runtime signatures, and missing ``device`` parameter docs",jorenham,closed,True,"Following #30104, #30114, #30121, #30124, #30126, #30137, and #30138; this adds the missing `__text_signature__`s to `empty`, `zeros`, and updates the relevant stubs.
Note that because `ones` and `full` are python functions, they did not have this issue.

This also adds docs for the `device` parameter of `zeros`, which apparently was missing.

---

Before:

```pycon
>>> import numpy as np
>>> from inspect import signature
>>> signature(np.empty)
Traceback (most recent call last):
  File ""<python-input-2>"", line 1, in <module>
    signature(np.empty)
    ~~~~~~~~~^^^^^^^^^^
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 3312, in signature
    return Signature.from_callable(obj, follow_wrapped=follow_wrapped,
           ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                   globals=globals, locals=locals, eval_str=eval_str,
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                   annotation_format=annotation_format)
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 3027, in from_callable
    return _signature_from_callable(obj, sigcls=cls,
                                    follow_wrapper_chains=follow_wrapped,
                                    globals=globals, locals=locals, eval_str=eval_str,
                                    annotation_format=annotation_format)
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 2508, in _signature_from_callable
    return _signature_from_builtin(sigcls, obj,
                                   skip_bound_arg=skip_bound_arg)
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 2292, in _signature_from_builtin
    raise ValueError(""no signature found for builtin {!r}"".format(func))
ValueError: no signature found for builtin <built-in function empty>
```

After:

```pycon
>>> import numpy as np
>>> from inspect import signature
>>> signature(np.empty)
<Signature (shape, dtype=None, order='C', *, device=None, like=None)>
>>> signature(np.zeros)
<Signature (shape, dtype=None, order='C', *, device=None, like=None)>
```",2025-11-04 01:45:42+00:00,2025-11-04 16:40:35+00:00,2025-11-04 16:40:35+00:00,121,61,5,3,3,1
numpy/numpy,30138,BUG: array construction function runtime signatures,jorenham,closed,True,"Following #30104, #30114, #30121, #30124, #30126, and #30137; this adds the missing `__text_signature__`s to `array`, `asarray`, `asanyarray`, `ascontiguousarray`, and `asfortranarray`.

---

Before:

```pycon
>>> import numpy as np
>>> from inspect import signature
>>> signature(np.array)
Traceback (most recent call last):
  File ""<python-input-2>"", line 1, in <module>
    signature(np.array)
    ~~~~~~~~~^^^^^^^^^^
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 3312, in signature
    return Signature.from_callable(obj, follow_wrapped=follow_wrapped,
           ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                   globals=globals, locals=locals, eval_str=eval_str,
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                   annotation_format=annotation_format)
                                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 3027, in from_callable
    return _signature_from_callable(obj, sigcls=cls,
                                    follow_wrapper_chains=follow_wrapped,
                                    globals=globals, locals=locals, eval_str=eval_str,
                                    annotation_format=annotation_format)
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 2508, in _signature_from_callable
    return _signature_from_builtin(sigcls, obj,
                                   skip_bound_arg=skip_bound_arg)
  File ""/home/joren/.local/share/uv/python/cpython-3.14-linux-x86_64-gnu/lib/python3.14/inspect.py"", line 2292, in _signature_from_builtin
    raise ValueError(""no signature found for builtin {!r}"".format(func))
ValueError: no signature found for builtin <built-in function array>
```

After:

```pycon
>>> import numpy as np
>>> from inspect import signature
>>> signature(np.array)
<Signature (object, dtype=None, *, copy=True, order='K', subok=False, ndmin=0, ndmax=None, like=None)>
```",2025-11-03 23:47:04+00:00,2025-11-05 23:28:28+00:00,2025-11-05 23:28:28+00:00,58,13,2,1,2,2
